#dipole v_rms = 188.535057
#    i        r    theta      phi      v_x      v_y      v_z      S_r
    91    67.69    43.82   -97.35  -219.82   -25.45  -246.91   127.25
    92    30.50    -5.88  -101.89  -207.82  -267.63   169.35   381.88
    93    45.42    68.25  -111.80  -102.22    38.60   -69.53  1698.36
    94    40.89   -66.49   106.70   -29.55    84.97    19.96  2257.34
    95    41.52    37.03    98.13   -99.76   117.87  -169.32   632.05
    96    40.29    75.80  -108.43   -54.71   307.35   163.97   379.28
    97    38.15    79.44  -116.57    48.36   272.00   246.09   517.69
    98    68.57    44.94    93.69  -392.05   -71.90  -278.40  -136.34
    99    22.15    80.93  -116.57   -24.62   137.15   -83.85   -56.04
   100    41.04   -40.33    92.86   -84.09   -24.69    -4.24 -2027.42
   101    25.05    -3.58   -90.00  -191.68    73.92    77.30   227.37
   102    37.79    82.87   -90.00    77.93   212.12   277.98  -159.69
   103    10.94   -90.00     0.00    -8.02   119.57   211.94   642.05
   104    28.17   -86.82    90.00     2.32   202.30   281.40  1510.18
   105    43.86    -4.09    90.00  -664.39  -202.60   135.42  -724.51
   106    34.45    50.46    85.91  -114.15    21.64   -91.67   157.51
   107    27.15     9.94   -83.29   -46.11   -56.64   -79.56 -1703.86
   108    50.53    73.44    77.47   174.73   209.39  -256.46  -998.79
   109    56.53   -41.56    85.76  -349.63  -181.38  -221.20   903.78
   110    36.88   -68.78    69.44   131.79   214.11   211.92 -2640.95
   111    30.70    54.53    74.74  -135.85   191.12    38.91   -88.04
   112    43.58    25.48    83.16  -155.24   -85.75   157.18  -909.72
   113    37.14    49.22    75.07   -18.57   127.32   107.45  -195.67
   114    51.09    55.67    77.47   136.95   -50.14  -287.62  -344.01
   115    46.22   -21.83   -79.51  -371.90    66.54    92.07  -302.73
   116    38.59   -58.24   -67.38   101.68   210.59   -14.78 -1489.59
   117    19.33    46.69   -45.00   118.76   148.04  -190.10   584.20
   118    50.29   -34.00    77.01  -326.18  -223.64   123.47  -651.71
   119    35.46   -12.73   -71.57  -138.93     0.36   326.04 -1053.99
   120    44.47    44.65    69.78   132.60    50.96   162.77  2416.02
   121    43.89    62.88   -51.34   220.02    25.89   115.23  1228.41
   122    50.90   -72.12    36.87   255.35    25.58  -348.13 -1044.37
   123    44.91    -8.00   -71.57   -38.79   102.43   254.06   398.90
   124    51.37   -52.26   -63.43   236.94   -29.62  -396.17   -66.77
   125    51.04   -71.63    29.05   125.15   -10.82  -367.84  1176.38
   126    51.87    19.35    73.30  -127.81   -31.31   251.07    43.18
   127    65.35   -36.71   -72.65   106.85  -173.64  -293.47  -230.91
   128    59.72   -31.55   -72.12    -5.52   -89.15  -106.50   376.68
   129    52.03   -57.22   -56.31   354.52   -44.22  -362.02  -181.26
   130    40.66    67.28    -5.71   153.08   218.02   -83.93 -1997.07
   131    21.31   -30.88   -19.98   148.50   450.42   143.77  -397.36
   132    27.86   -51.73     5.19   101.54   -46.19   -94.87  -872.01
   133    47.11   -11.48    66.04    -6.57  -206.50   185.03 -1266.51
   134    26.79    35.68   -21.04   159.30   471.88   220.74   -60.44
   135    32.89    45.45    28.30   398.02  -172.96   110.36  1187.59
   136    37.17    14.61    55.62   342.86   125.47   219.59  -780.17
   137    52.87    62.45    26.57     2.39   107.06  -247.71   727.24
   138    56.98   -19.21   -64.18   165.04  -185.33   322.46  -146.20
   139    61.02    50.19   -53.13   211.53    -6.65  -187.13 -1819.61
   140    39.84    48.18    28.07   375.21   -23.48  -132.69  -489.00
   141    70.35   -40.10    64.18   224.49    25.88  -204.62   682.13
   142    45.12   -14.03   -55.18   128.81  -271.73   292.96   858.93
   143    25.24    -3.55     7.13   364.89   215.47   154.25   544.26
   144    51.78     8.68   -58.74    47.44     4.09   314.88   443.15
   145    52.03    51.33   -35.22   -94.32  -105.75    89.36  -609.00
   146    49.68    36.70    48.18   397.44    61.33   146.97  1004.90
   147    48.49    13.04    55.78   349.14   -27.74   364.01  -794.00
   148    45.39    38.29   -37.87   157.07   -10.06   191.62  1386.12
   149    49.36   -52.31   -21.25   333.69   112.65   -55.54  -441.72
   150    42.07   -21.80    36.87   255.48  -171.49    97.03  -112.41
   151    67.93   -45.49    48.99   295.75  -230.97  -318.95   400.72
   152    61.71   -33.85    52.43   128.94  -108.50  -155.25 -1375.75
   153    60.13    46.68   -37.30   107.27  -241.48   119.32  1205.30
   154    40.44   -35.42     5.44    20.40   -42.60   187.93 -1224.15
   155    36.28   -17.55    18.43   411.63   136.99   395.46  1644.90
   156    37.76    19.33    15.26   360.45    93.15   -39.35  -268.75
   157    43.47   -23.29    30.58    98.85  -110.93   210.42 -2224.10
   158    53.31   -40.15    32.47  -144.75   -46.99   136.89  1153.59
   159    60.80    24.28   -49.57   242.32  -288.26    56.91  1763.01
   160    50.46   -31.76    33.11    17.92    -4.64   -51.81   655.19
   161    45.66    20.01    33.11   281.21   174.36    18.90  1417.85
   162    65.90    36.35    47.39    86.36  -105.06  -329.61    96.30
   163    61.12    22.55   -48.37   304.54  -399.51    56.76  1414.29
   164    54.22    20.23   -42.51   194.90  -325.64   121.11  -396.32
   165    44.77    29.25   -16.26   115.59   342.44    96.80  -814.84
   166    48.81    39.81     0.00   159.13   438.11    38.95  -880.58
   167    46.59    25.85    26.57   169.49   -84.12   337.28 -1024.88
   168    47.24    25.47    28.44   145.43  -145.71   292.31   -83.00
   169    53.10    -1.69   -42.61   538.07   -45.39   223.71  1605.13
   170    42.19    -4.25   -21.80   378.40   277.00   376.72  1193.79
   171    44.72    27.02   -11.31   196.02   404.15   -32.25  1186.50
   172    47.47   -34.03    -6.84   -35.22  -182.67  -291.46  -415.44
   173    54.15     0.00    43.83   390.88  -115.71   464.45  1183.76
   174    52.22   -38.93     0.00    -6.01  -311.93  -159.44  -970.40
   175    41.37    -6.51     8.75   433.67   199.67   396.55  1054.68
   176    67.80    32.01   -42.80   -30.73  -401.15  -133.33   660.59
   177    64.52    28.97   -41.63  -142.65  -424.81  -127.47  -950.19
   178    42.25     2.12    -2.12   223.34   298.68   186.19   310.74
   179    60.96   -45.87     6.34   100.92  -105.80  -314.85   389.23
   180    63.55    31.09    39.17   214.42   148.25   -40.57   520.00
   181    74.10   -26.28   -48.81   361.06   -94.45    67.60  1479.00
   182    66.46    -1.35   -48.81   344.17  -186.09   278.57   588.70
   183    54.87    11.50   -35.54    87.16  -221.24   100.41   558.25
   184    43.89     4.08     2.05   235.80   242.23   132.76   908.55
   185    45.20    14.00     4.09   346.19   402.62  -213.25  2164.09
   186    52.34    22.84    24.90    52.23   -78.02   156.51 -1830.60
   187    57.83     0.00   -38.42   412.32  -105.66   106.52  1475.28
   188    72.04   -42.25   -31.83   -11.25    42.50   -82.80    33.10
   189    67.22   -46.10    13.57   156.59   -46.32  -229.87 -1739.61
   190    50.70    -7.08    25.77    58.62  -152.93   403.44  -204.65
   191    67.84   -16.04    45.97   349.76    26.00    45.11  2105.93
   192    69.77    -3.85   -45.91   403.28    50.97   160.35 -1385.40
   193    78.70    36.56   -39.99   -63.70  -128.77   -24.83   633.74
   194    59.33   -31.78   -16.19  -160.95   253.53  -114.21   359.98
   195    62.54    38.65     7.35  -319.68   130.91  -258.74   695.60
   196    54.24    16.74    21.16   305.07  -249.93    26.72 -1462.96
